aalib 1.4rc5-17
python-urllib3 1.26.18-1
python-urwid 2.2.3-1
python-userpath 1.9.1-1
python-validate-pyproject 0.13-1
python-virtualenv 20.25.0-1
python-webencodings 0.5.1-10
python-wheel 0.40.0-3
python-xlib 0.33-2
python-yaml 6.0.1-2
python-zipp 3.17.0-1
qemu-audio-spice 8.1.3-1
qemu-base 8.1.3-1
qemu-block-curl 8.1.3-1
qemu-block-dmg 8.1.3-1
qemu-block-nfs 8.1.3-1
qemu-block-ssh 8.1.3-1
qemu-chardev-spice 8.1.3-1
qemu-common 8.1.3-1
qemu-hw-display-qxl 8.1.3-1
qemu-hw-display-virtio-gpu 8.1.3-1
qemu-hw-display-virtio-gpu-gl 8.1.3-1
qemu-hw-display-virtio-gpu-pci 8.1.3-1
qemu-hw-display-virtio-gpu-pci-gl 8.1.3-1
qemu-hw-display-virtio-vga 8.1.3-1
qemu-hw-display-virtio-vga-gl 8.1.3-1
qemu-hw-s390x-virtio-gpu-ccw 8.1.3-1
qemu-hw-usb-host 8.1.3-1
qemu-hw-usb-redirect 8.1.3-1
qemu-hw-usb-smartcard 8.1.3-1
qemu-img 8.1.3-1
qemu-pr-helper 8.1.3-1
qemu-system-x86 8.1.3-1
qemu-system-x86-firmware 8.1.3-1
qemu-tools 8.1.3-1
qemu-ui-curses 8.1.3-1
qemu-ui-opengl 8.1.3-1
qemu-ui-spice-app 8.1.3-1
qemu-ui-spice-core 8.1.3-1
qogir-icon-theme 2023.06.05-1
qrencode 4.1.1-2
qt5-base 5.15.11+kde+r148-1
qt5-declarative 5.15.11+kde+r32-1
qt5-svg 5.15.11+kde+r6-1
qt5-translations 5.15.11-1
qt5-wayland 5.15.11+kde+r60-1
qt5-x11extras 5.15.11-1
radeontop 1.4-2
ranger 1.9.3-9
rav1e 0.6.6-3
readline 8.2.007-1
recode 3.7.14-1
reflector 2023-1
rhash 1.4.4-1
ripgrep 14.0.3-1
rofi-lbonn-wayland-git 1.7.5.wayland2.r151.g5cd1e3ca-1
rsync 3.2.7-6
rtkit 0.13-2
rubberband 3.3.0-1
ruby 3.0.6-1
ruby-abbrev 0.1.0-4
ruby-base64 0.1.1-4
ruby-benchmark 0.2.0-4
ruby-bigdecimal 3.1.2-4
ruby-bundledgems 3.0.6-1
ruby-bundler 2.4.22-1
ruby-cgi 0.3.6-1
ruby-csv 3.2.5-4
ruby-date 3.2.2-4
ruby-delegate 0.2.0-4
ruby-did_you_mean 1.6.1-4
ruby-digest 3.1.1-1
ruby-drb 2.1.0-5
ruby-english 0.7.1-5
ruby-erb 4.0.2-2
ruby-etc 1.3.0-6
ruby-fcntl 1.0.1-4
ruby-fiddle 1.1.0-4
ruby-fileutils 1.6.0-4
ruby-find 0.1.1-4
ruby-forwardable 1.3.2-6
ruby-getoptlong 0.1.1-3
ruby-io-console 0.5.11-3
ruby-io-nonblock 0.1.0-3
ruby-io-wait 0.2.3-4
ruby-ipaddr 1.2.4-3
ruby-irb 1.4.2-1
ruby-json 2.6.3-1
ruby-logger 1.5.1-3
ruby-manpages 0.6.1-4
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-3
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-optimist 3.0.1-2
ruby-paint 2.3.0-2
ruby-power_assert 2.0.3-1
ruby-psych 4.0.6-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
